ID,NAME,DESCRIPTION
14010,"awesome pizzas",pizza
14011,"Some Pizza","Oh Yeah Pizza"
14012,belleboche,"Pepperoni, Sausage, Mushroom"
14013,"<script>alert(""Hello world!"")</script>","The pizza for ethical hackers."
14014,"New pizza","Damn description"
14015,"Generic Pizza","This has generic toppings."
14016,"The Pizza For Stars","Eat up!"
14017,"New Pizza","It's pizza time!"
14018,dsa,ads
14019,"Yummy Pizza","Pepperoni, Sausage, Ham and Bacon"
14020,"Pizza Pizza","2 Pizzas in one"
14021,Vegetarian,"Mushrooms, Onions, Bell Peppers"
14022,,
14023,"My Favorite Pizza","My Favorite Pizza with awesome toppings"
14024,belleboche,"Pepperoni, Sausage, Mushroom"
14025,Busick,"The pizza of the second chris"
14026,Busick,"The pizza of the second chris"
14027,Busick,"The pizza of the second chris"
14028,Busick,"The pizza of the second chris"
14029,Busick,"The pizza of the second chris"
14030,Busick,"The pizza of the second chris"
14031,Busick,"The pizza of the second chris"
14032,Busick,"The pizza of the second chris"
14033,Busick,"The pizza of the second chris"
14034,Busick,"The pizza of the second chris"
14035,Busick,"The pizza of the second chris"
14036,Busick,"The pizza of the second chris"
14037,Busick,"The pizza of the second chris"
14038,Busick,"The pizza of the second chris"
14039,Busick,"The pizza of the second chris"
14040,Busick,"The pizza of the second chris"
14041,Busick,"The pizza of the second chris"
14042,Busick,"The pizza of the second chris"
14043,Busick,"The pizza of the second chris"
14044,Busick,"The pizza of the second chris"
14045,"AND 0=1; DROP TABLE PIZZAS","House pizza"
14046,belleboche,"Pepperoni, Sausage, Mushroom"
14047,belleboche,"Pepperoni, Sausage, Mushroom"
14048,,
14049,,
14050,,
14051,,
14052,,
14053,,
14054,,
14055,test,"Don't eat this"
14056,"classic pizza","teh classico"
14057,Belleboche,"Pepperoni, Mushroom and Sausage"
14058,Belleboche,"Pepperoni, Mushroom and Sausage"
14059,Belleboche,"Pepperoni, Mushroom and Sausage"
14060,Belleboche,"Pepperoni, Mushroom and Sausage"
14061,PizzaTest,"A Pizza of Test Proportions "
14062,"Server Pizza","A Pizza for Servers"
14009,belleboche,"Pepperoni, Sausage, Mushroom"
